genome,domain,phylum,class,order,family,genus,species,completeness,contamination,coding_density,length,N50_length,circularity,length_ratio
GPB:bin_000135,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,UMGS1370,UMGS1370 sp904395885,96.99,1.25,0.896,4215332,2797585,0,1.4286151962860965
TG3_28:bin_000042,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Mediterraneibacter,Mediterraneibacter faecipullorum,91.64,1.6,0.901,2678215,13623,0,0.9076719574926406
GPB:bin_000146,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Clostridium_Q,Clostridium_Q saccharolyticum_A,98.3,0.73,0.852,3717134,2653635,0,1.2597712633386227
GPB:bin_000067,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium_A,Lachnoclostridium_A stercoripullorum,100,0,0.891,3458757,3458757,1,1.1722048964259304
TG4:bin_000055,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Blautia_A,unclassified_Blautia_A,78.29,1.65,0.912,2909419,6027,0,0.986029142132458
TG3:bin_000068,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,An181,An181 sp002160325,92.43,2.11,0.908,2578757,14340,0,0.8739647168311168
D300526:bin_000014,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia stercorigallinarum,86.29,2.63,0.892,3288674,28346,0,1.1145621868054478
GPB:bin_000023,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Sellimonas,Sellimonas intestinalis,100,0,0.889,3146407,3146407,1,1.0663465781345212
D300492:bin_000003,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium_A,Lachnoclostridium_A stercorigallinarum,96.77,2.56,0.901,3315623,65879,0,1.123695453396244
TG4_21:bin_000043,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Mediterraneibacter,Mediterraneibacter intestinigallinarum,95.76,11.62,0.905,3781974,11543,0,1.2817461420260405
GPB:bin_000124,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Copromonas,Copromonas faecavium,100,0,0.87,3904228,3904228,1,1.3231791589762498
D300474:bin_000012,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Mediterraneibacter,Mediterraneibacter norwichensis,92.43,1.47,0.897,2990431,16092,0,1.0134848619385206
D300444:bin_000010,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster excrementigallinarum,91.11,2.06,0.906,3198212,23613,0,1.0839037741616908
TG3_28:bin_000041,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Merdimonas,Merdimonas faecis,76.3,1.01,0.913,2636481,7588,0,0.8935279169753565
TG2:bin_000059,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Pullilachnospira,Pullilachnospira stercoravium,77.41,6.97,0.88,3204350,9095,0,1.0859839994143647
D300499:bin_000015,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Caccovicinus,Caccovicinus sp017889125,95.7,5.45,0.889,4069219,20797,0,1.3790961424666226
GPB:bin_000094,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Caccomorpha,Caccomorpha excrementavium,100,0,0.893,4716244,4716244,1,1.5983789290601842
TG2_07:bin_000029,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Mediterraneibacter,Mediterraneibacter vanvlietii,87.75,1.89,0.894,2812548,11479,0,0.9531986598170838
TG5:bin_000047,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Mediterraneibacter,Mediterraneibacter sp944381495,82.17,4.83,0.889,3168647,20648,0,1.0738839208551902
TG1_21:bin_000035,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium_A,Lachnoclostridium_A sp002160755,82.21,12.8,0.876,3502275,11843,0,1.1869535511254838
GPB:bin_000159,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Anaerobutyricum,Anaerobutyricum faecale,88.83,2.33,0.86,3469269,536953,0,1.1757675109349084
GPB:bin_000209,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium_A,Lachnoclostridium_A avicola,91.77,3.64,0.889,3723173,360413,0,1.261817936571092
GPB:bin_000055,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Fimimorpha,Fimimorpha faecalis,100,0,0.862,3483147,3483147,1,1.1804708941308366
TG3_35:bin_000033,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Hungatella_B,Hungatella_B pullicola,98.12,2.22,0.902,2913216,22073,0,0.9873159807255506
GPB:bin_000171,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Anaerobutyricum,Anaerobutyricum stercoris,100,1.11,0.878,4137023,1320277,0,1.402075548304403
GPB:bin_000069,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Catenibacillus,Catenibacillus faecigallinarum,100,0,0.883,4555427,4555427,1,1.543876552967117
GPB:bin_000151,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,Anaerostipes excrementavium,99.95,2.48,0.897,3353259,2095716,0,1.136450643622642
TG2_28:bin_000031,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,Anaerostipes butyraticus,84.13,2.4,0.911,2308821,5077,0,0.7824808973775876
GPB:bin_000142,Bacteria,Bacillota_A,Clostridia,Christensenellales,CAG-314,Heteroclostridium,Heteroclostridium caecigallinarum,100,0,0.901,1458434,1458434,1,0.49427683873543454
GPB:bin_000170,Bacteria,Bacillota_A,Clostridia,Christensenellales,Borkfalkiaceae,Borkfalkia,Borkfalkia ceftriaxoniphila,95,0.1,0.925,2505775,1371595,0,0.8492304386638568
GPB:bin_000131,Bacteria,Bacillota_A,Clostridia,Christensenellales,Borkfalkiaceae,Borkfalkia,Borkfalkia excrementigallinarum,100,0,0.874,2950483,2950483,1,0.9999461134220959
GPB:bin_000113,Bacteria,Bacillota_A,Clostridia,Christensenellales,Borkfalkiaceae,Borkfalkia,Borkfalkia faecigallinarum,100,0,0.858,1967104,1967104,1,0.6666698298200866
D300472:bin_000003,Bacteria,Bacillota_A,Clostridia,Christensenellales,Borkfalkiaceae,Borkfalkia,Borkfalkia sp904373255,91.75,1.35,0.878,2791757,25309,0,0.9461523966648614
GPB:bin_000100,Bacteria,Bacillota_A,Clostridia,Christensenellales,Borkfalkiaceae,Borkfalkia,Borkfalkia sp904374385,100,0,0.89,2680208,2680208,1,0.9083474037175638
GPB:bin_000190,Bacteria,Bacillota_A,Clostridia,Christensenellales,Borkfalkiaceae,Borkfalkia,Borkfalkia sp944342025,95.4,0.74,0.896,2446882,1775478,0,0.829271053553769
GPB:bin_000189,Bacteria,Bacillota_A,Clostridia,Christensenellales,Borkfalkiaceae,Borkfalkia,Borkfalkia sp944368795,94.33,0.73,0.885,2483434,1380771,0,0.8416588661043936
GPB:bin_000148,Bacteria,Bacillota_A,Clostridia,Christensenellales,Borkfalkiaceae,Borkfalkia,Borkfalkia sp017886545,100,0,0.875,2638047,2638047,1,0.8940586489313174
GPB:bin_000212,Bacteria,Bacillota_A,Clostridia,Christensenellales,Borkfalkiaceae,Gallimonas,Gallimonas caecicola,84.98,6.29,0.892,2166640,327233,0,0.7342944349060306
D300443:bin_000003,Bacteria,Bacillota_A,Clostridia,Christensenellales,Borkfalkiaceae,Scatosoma,Scatosoma sp900555925,92.99,0.64,0.896,3351616,43028,0,1.1358938156509668
TG3:bin_000002,Bacteria,Bacillota_A,Clostridia,Christensenellales,Borkfalkiaceae,Scatosoma,Scatosoma sp904419075,99.44,0.3,0.891,3055780,40504,0,1.0356322454570903
GPB:bin_000070,Bacteria,Bacillota_A,Clostridia,Christensenellales,Borkfalkiaceae,Gallimonas,Gallimonas merdigallinarum,100,0,0.871,2191351,2191351,1,0.74266922249463
TG1:bin_000010,Bacteria,Bacillota_A,Clostridia,Christensenellales,Borkfalkiaceae,Coproplasma,Coproplasma avistercoris,91.28,0.12,0.886,1860773,26504,0,0.6306332655740683
D300458:bin_000001,Bacteria,Bacillota_A,Clostridia,Christensenellales,Borkfalkiaceae,Coproplasma,Coproplasma stercorigallinarum,97.29,0.15,0.841,1947586,13522,0,0.6600549982003916
GPB:bin_000041,Bacteria,Bacillota_A,Clostridia,Christensenellales,Borkfalkiaceae,Gallimonas,Gallimonas faecium,100,0,0.906,1934850,1934850,1,0.6557386494193467
GPB:bin_000119,Bacteria,Bacillota_A,Clostridia,Christensenellales,Borkfalkiaceae,Gallimonas,Gallimonas intestinigallinarum,100,0,0.892,2307890,2307890,1,0.7821653728239482
D300428:bin_000008,Bacteria,Bacillota_A,Clostridia,Christensenellales,Borkfalkiaceae,Coproplasma,Coproplasma excrementigallinarum,82.32,3.54,0.834,1922776,10687,0,0.6516466585915879
GPB:bin_000163,Bacteria,Bacillota_A,Clostridia,Christensenellales,Borkfalkiaceae,Coproplasma,Coproplasma sp944368155,94.28,0.1,0.857,1676651,1512000,0,0.5682326083611634
GPB:bin_000095,Bacteria,Bacillota_A,Clostridia,Christensenellales,Borkfalkiaceae,UMGS775,UMGS775 sp900545325,100,0,0.928,2400753,2400753,1,0.8136375066849858
GPB:bin_000076,Bacteria,Bacillota_A,Clostridia,Christensenellales,UBA1750,Spyradocola,Spyradocola merdavium,100,0,0.886,3416191,3416191,1,1.1577788833752112
TG5_35:bin_000022,Bacteria,Bacillota_A,Clostridia,Christensenellales,CAG-74,Pullichristensenella,Pullichristensenella excrementipullorum,83.77,5.79,0.892,2156854,4543,0,0.7309778685452183
TG5_14:bin_000008,Bacteria,Bacillota_A,Clostridia,Clostridiales,Clostridiaceae,Sarcina,Sarcina perfringens,98.49,1.81,0.846,3247971,12617,0,1.1007675617713026
GPB:bin_000193,Bacteria,Bacillota_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,Alangreenwoodia,Alangreenwoodia sp905206455,88.97,0.5,0.832,2039492,157914,0,0.69120279586612
TG1:bin_000047,Bacteria,Bacillota_A,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Romboutsia,Romboutsia sp904418825,79.76,2.84,0.856,1955405,4481,0,0.6627049299779506
GPB:bin_000145,Bacteria,Bacillota,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus_A,Paenibacillus_A macerans,99.81,0.97,0.837,7274163,5629091,0,2.4652814540022137
GPB:bin_000014,Bacteria,Bacillota,Bacilli,CAJFEE01,CAJFEE01,Harrysmithimonas,Harrysmithimonas galli,100,0,0.755,3303531,3303531,1,1.1195973622011752
TG2_21:bin_000011,Bacteria,Bacillota,Bacilli,RF39,UBA660,CAG-302,CAG-302 sp017887885,94.26,0.44,0.884,1428992,77172,0,0.48429867127221804
GPB:bin_000161,Bacteria,Bacillota,Bacilli,RF39,UBA660,RUG591,RUG591 sp944350445,91.13,1.43,0.9,1414746,732373,0,0.479470569455732
GPB:bin_000153,Bacteria,Bacillota,Bacilli,RF39,UBA660,Caccenecus,Caccenecus sp900758895,100,0,0.895,1581374,1581374,1,0.53594234746201
GPB:bin_000017,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Coprobacillaceae,Thomasclavelia,Thomasclavelia ramosa,100,0,0.876,3545344,3545344,1,1.2015500355515851
GPB:bin_000139,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Coprobacillaceae,Massilimicrobiota,Massilimicrobiota sp002160865,95.43,0.47,0.898,2417168,1552294,0,0.819200702762314
D300509:bin_000001,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Coprobacillaceae,Massilimicrobiota,Massilimicrobiota merdigallinarum,99.64,0.45,0.895,2434131,30065,0,0.8249496211332992
TG5_28:bin_000003,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Coprobacillaceae,Thomasclavelia,Thomasclavelia spiroformis,100,0.56,0.885,2500811,29662,0,0.8475480929235062
GPB:bin_000115,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Clostridium_AQ,Clostridium_AQ innocuum,100,0,0.845,4090285,4090285,1,1.3862356056749683
D300443:bin_000002,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Clostridium_AQ,Clostridium_AQ sp900552125,100,1.11,0.887,2697713,51850,0,0.9142800109264356
GPB:bin_000185,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Merdibacter,unclassified_Merdibacter,98.35,0.79,0.844,2413710,995357,0,0.8180287544202245
TG1:bin_000014,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Merdibacter,Merdibacter merdigallinarum,97.62,0.62,0.887,2317307,26610,0,0.7853568816549077
GPB:bin_000042,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Holdemania,Holdemania filiformis,100,0,0.867,3767255,3767255,1,1.2767577361130222
GPB:bin_000043,Bacteria,Bacillota,Bacilli,ML615J_28,CAG-313,CAG-313,CAG-313 sp000433035,100,0,0.899,1744170,1744170,1,0.5911154250498705
TG5_35:bin_000001,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus alactolyticus,99.99,0.09,0.884,1577486,39230,0,0.5346246681230729
GPB:bin_000039,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus_D,Enterococcus_D gallinarum,100,0,0.864,3260876,3260876,1,1.1051411862232017
TG3_14:bin_000007,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus_B,Enterococcus_B hirae,99.95,3.09,0.846,2864690,15381,0,0.9708700682766666
GEXTRA:bin_000002,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus_B,Enterococcus_B faecium,100,0,0.85,2562984,2562984,1,0.8686191005211747
TG4_14:bin_000001,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,99.99,0.31,0.889,2768917,49428,0,0.938411708367196
D300479:bin_000001,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus crispatus,99.97,0.53,0.887,1942229,31518,0,0.6582394611071082
TG5_28:bin_000004,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus johnsonii,99.95,0.5,0.893,1793304,33637,0,0.607767394350111
TG2:bin_000055,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus gallinarum,75.25,0.38,0.895,1419434,4879,0,0.48105937623066436
GEXTRA:bin_000004,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,100,0,0.874,2191121,2191121,1,0.7425912733567813
TG2:bin_000003,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri_E,99.89,1.77,0.879,2084398,20549,0,0.7064218566671253
TG1:bin_000020,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus fermentum,90.31,2.27,0.872,1824892,6068,0,0.6184728611603848
GEXTRA:bin_000006,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,100,0,0.864,2028169,2028169,1,0.6873653259189018
GPB:bin_000025,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus salivarius,100,0,0.879,1890941,1890941,1,0.6408574811854505
